,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6112080808080809,0.7203085858585858,-1.0,-1.0,0.6685520202020201,0.8937676767676768
an,0.6243888888888889,0.7203650793650793,1.0,1.0,0.6623333333333333,0.9133333333333332
banana,0.5217777777777778,0.6342063492063493,1.0,1.0,0.5791666666666665,0.8255555555555554
block,0.8062777777777778,0.8522142857142857,1.0,1.0,0.8566666666666668,0.9055555555555554
corn,0.524,0.6408968253968255,1.0,1.0,0.5306666666666666,0.9144444444444445
cube,0.8030555555555554,0.8505238095238095,1.0,1.0,0.8531666666666666,0.9099999999999999
cucumber,0.3482222222222223,0.5599603174603175,1.0,1.0,0.43511111111111117,0.8994444444444445
ear,0.5266111111111111,0.6402222222222222,1.0,1.0,0.5202777777777777,0.9222222222222222
green,0.37561111111111123,0.579436507936508,1.0,1.0,0.4566666666666667,0.8999999999999999
on,0.8074999999999999,0.9369999999999997,0.0,1.0,1.0,0.9041666666666668
the,0.8534166666666666,0.876857142857143,1.0,1.0,0.8741666666666668,0.9216666666666665
yellow,0.6978888888888888,0.768079365079365,1.0,1.0,0.7833333333333332,0.8266666666666668
